club_id,club,num_of_players,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,league,season,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
43,Beşiktaş,29,38,105,10,7,536.0,465.0,99.0,741.0,483.0,387.0,,,1,Super_Lig,2021_2022,,,,
43,Beşiktaş,35,34,81,4,3,524.0,404.0,62.0,758.0,310.0,407.0,,,3,Super_Lig,2022_2023,,,,
44,Blau-Weiß Linz,25,32,69,1,0,382.0,359.0,52.0,486.0,335.0,338.0,,,1,Austrian_Bundesliga,2023_2024,,,,
45,Boavista,23,34,105,8,6,498.0,452.0,68.0,681.0,273.0,343.0,4.0,6.0,1,Primeira_Liga,2023_2024,1600.0,444.0,427.0,51.0
45,Boavista,28,34,120,10,5,508.0,467.0,61.0,487.0,379.0,337.0,2.0,7.0,1,Primeira_Liga,2021_2022,1759.0,483.0,475.0,50.0
45,Boavista,30,34,107,7,3,498.0,432.0,66.0,661.0,362.0,333.0,4.0,7.0,2,Primeira_Liga,2022_2023,1788.0,367.0,480.0,43.0
46,Bochum,26,34,64,1,0,429.0,354.0,66.0,568.0,337.0,386.0,3.0,14.0,3,Bundesliga,2022_2023,1991.0,770.0,737.0,51.0
46,Bochum,28,34,55,2,0,424.0,391.0,75.0,600.0,429.0,353.0,4.0,8.0,4,Bundesliga,2021_2022,2088.0,609.0,599.0,50.0
46,Bochum,25,34,97,2,0,446.0,409.0,83.0,649.0,308.0,366.0,4.0,11.0,4,Bundesliga,2023_2024,1808.0,815.0,816.0,50.0
47,Bologna,27,38,84,3,2,477.0,426.0,77.0,558.0,302.0,373.0,5.0,9.0,3,Serie_A,2022_2023,2080.0,369.0,447.0,45.0
47,Bologna,28,38,85,2,2,458.0,456.0,55.0,510.0,258.0,385.0,3.0,7.0,1,Serie_A,2023_2024,1769.0,416.0,413.0,50.0
47,Bologna,36,38,92,7,4,443.0,497.0,56.0,601.0,370.0,298.0,3.0,9.0,2,Serie_A,2021_2022,1972.0,492.0,520.0,48.0
48,Bordeaux,39,38,91,5,2,460.0,391.0,58.0,611.0,454.0,377.0,2.0,9.0,3,Ligue_1,2021_2022,2134.0,488.0,506.0,49.0
49,Botev Plovdiv,44,36,98,7,4,,,,,,,,,4,Bulgarian_First_League,2022_2023,,,,
49,Botev Plovdiv,46,36,97,3,2,,,,,,,,,1,Bulgarian_First_League,2023_2024,,,,
49,Botev Plovdiv,30,31,66,2,1,,,,,,,,,1,Bulgarian_First_League,2021_2022,,,,
50,Botev Vratsa,32,35,101,6,3,,,,,,,,,2,Bulgarian_First_League,2022_2023,,,,
50,Botev Vratsa,31,35,105,5,2,,,,,,,,,2,Bulgarian_First_League,2023_2024,,,,
50,Botev Vratsa,37,32,95,7,4,,,,,,,,,0,Bulgarian_First_League,2021_2022,,,,
51,Bournemouth,30,38,79,3,0,507.0,376.0,56.0,709.0,357.0,410.0,3.0,7.0,1,Premier_League,2023_2024,2013.0,582.0,671.0,46.0
51,Bournemouth,31,38,68,0,0,391.0,365.0,38.0,509.0,353.0,371.0,0.0,7.0,3,Premier_League,2022_2023,1942.0,521.0,539.0,49.0
52,Braga,25,34,80,4,2,410.0,385.0,62.0,750.0,310.0,313.0,3.0,7.0,2,Primeira_Liga,2023_2024,1685.0,461.0,456.0,50.0
52,Braga,40,34,83,5,1,489.0,397.0,57.0,533.0,336.0,284.0,4.0,2.0,1,Primeira_Liga,2021_2022,1894.0,511.0,517.0,49.0
52,Braga,31,34,87,6,3,431.0,398.0,60.0,702.0,374.0,314.0,4.0,5.0,0,Primeira_Liga,2022_2023,1860.0,442.0,408.0,52.0
53,Brentford,28,38,89,2,0,385.0,419.0,70.0,706.0,378.0,399.0,3.0,2.0,0,Premier_League,2023_2024,1892.0,632.0,607.0,51.0
53,Brentford,25,38,57,1,1,354.0,399.0,72.0,661.0,341.0,338.0,7.0,2.0,3,Premier_League,2022_2023,1959.0,664.0,617.0,51.0
53,Brentford,29,38,65,3,2,371.0,363.0,66.0,640.0,393.0,342.0,6.0,5.0,2,Premier_League,2021_2022,2061.0,717.0,728.0,49.0
54,Brest,29,38,63,2,0,499.0,462.0,59.0,755.0,475.0,417.0,7.0,9.0,2,Ligue_1,2022_2023,2115.0,633.0,569.0,52.0
54,Brest,25,34,84,5,2,414.0,422.0,34.0,792.0,321.0,427.0,2.0,3.0,0,Ligue_1,2023_2024,1910.0,598.0,509.0,54.0
54,Brest,25,38,59,2,0,427.0,417.0,47.0,710.0,469.0,400.0,4.0,4.0,2,Ligue_1,2021_2022,2006.0,618.0,540.0,53.0
55,Brighton,30,38,90,3,0,414.0,454.0,84.0,671.0,288.0,366.0,6.0,6.0,2,Premier_League,2023_2024,1751.0,406.0,345.0,54.0
55,Brighton,29,38,58,0,0,427.0,407.0,70.0,694.0,303.0,340.0,4.0,8.0,6,Premier_League,2022_2023,2013.0,444.0,387.0,53.0
55,Brighton,26,38,72,2,0,393.0,355.0,53.0,728.0,358.0,403.0,4.0,4.0,0,Premier_League,2021_2022,2154.0,569.0,498.0,53.0
56,Bruk-Bet Termalica Nieciecza,38,34,81,1,0,,,,,,,,,2,Ekstraklasa,2021_2022,,,,
57,Brøndby,30,32,64,4,2,333.0,292.0,58.0,561.0,288.0,323.0,,,1,Danish_Superliga,2022_2023,,,,
57,Brøndby,33,32,56,3,0,299.0,310.0,53.0,591.0,338.0,353.0,,,0,Danish_Superliga,2021_2022,,,,
57,Brøndby,31,32,55,3,0,363.0,297.0,48.0,575.0,280.0,365.0,,,1,Danish_Superliga,2023_2024,,,,
58,Burnley,31,38,77,7,3,429.0,353.0,76.0,550.0,280.0,342.0,3.0,7.0,3,Premier_League,2023_2024,1727.0,561.0,696.0,44.0
58,Burnley,23,38,68,2,0,394.0,332.0,101.0,747.0,410.0,324.0,2.0,5.0,2,Premier_League,2021_2022,2027.0,827.0,733.0,53.0
59,CSKA 1948,34,35,96,7,3,,,,,,,,,2,Bulgarian_First_League,2022_2023,,,,
59,CSKA 1948,41,36,83,7,2,,,,,,,,,0,Bulgarian_First_League,2023_2024,,,,
59,CSKA 1948,41,32,85,8,6,,,,,,,,,3,Bulgarian_First_League,2021_2022,,,,
60,CSKA Sofia,30,35,112,4,2,,,,,,,,,0,Bulgarian_First_League,2022_2023,,,,
60,CSKA Sofia,34,35,89,4,0,,,,,,,,,1,Bulgarian_First_League,2023_2024,,,,
60,CSKA Sofia,31,31,86,6,4,,,,,,,,,0,Bulgarian_First_League,2021_2022,,,,
61,Cagliari,29,38,77,4,2,464.0,418.0,64.0,852.0,265.0,315.0,3.0,5.0,3,Serie_A,2023_2024,1774.0,571.0,613.0,48.0
61,Cagliari,33,38,96,5,3,549.0,490.0,70.0,675.0,397.0,303.0,3.0,10.0,1,Serie_A,2021_2022,1995.0,696.0,742.0,48.0
62,Cambuur,31,34,49,4,1,360.0,314.0,46.0,657.0,293.0,353.0,2.0,7.0,3,Eredivisie,2022_2023,1750.0,449.0,553.0,44.0
62,Cambuur,27,34,54,3,2,334.0,343.0,49.0,401.0,331.0,314.0,5.0,2.0,1,Eredivisie,2021_2022,1796.0,476.0,569.0,45.0
63,Casa Pia,32,34,76,4,2,478.0,407.0,67.0,515.0,286.0,331.0,4.0,1.0,0,Primeira_Liga,2023_2024,1585.0,341.0,423.0,44.0
63,Casa Pia,31,34,99,6,4,485.0,446.0,70.0,585.0,350.0,318.0,2.0,7.0,2,Primeira_Liga,2022_2023,1960.0,379.0,437.0,46.0
64,Celta Vigo,25,38,87,3,1,507.0,463.0,83.0,768.0,376.0,409.0,3.0,8.0,2,La_Liga,2021_2022,2144.0,603.0,696.0,46.0
64,Celta Vigo,26,38,85,6,3,469.0,493.0,81.0,705.0,368.0,413.0,2.0,8.0,1,La_Liga,2022_2023,2031.0,458.0,539.0,45.0
64,Celta Vigo,31,38,66,5,2,463.0,485.0,63.0,661.0,297.0,382.0,4.0,8.0,3,La_Liga,2023_2024,1908.0,522.0,548.0,48.0
65,Cercle Brugge,27,30,66,3,2,391.0,355.0,73.0,595.0,327.0,403.0,0.0,1.0,2,Belgian_Pro_League,2023_2024,1913.0,848.0,895.0,48.0
65,Cercle Brugge,25,34,79,4,3,488.0,407.0,84.0,644.0,381.0,440.0,5.0,2.0,1,Belgian_Pro_League,2021_2022,1990.0,669.0,711.0,48.0
65,Cercle Brugge,27,34,71,4,3,465.0,374.0,71.0,616.0,400.0,410.0,5.0,15.0,2,Belgian_Pro_League,2022_2023,2074.0,850.0,792.0,51.0
66,Charleroi,30,30,58,4,1,359.0,297.0,61.0,554.0,336.0,368.0,3.0,5.0,1,Belgian_Pro_League,2023_2024,1687.0,512.0,556.0,47.0
66,Charleroi,34,34,55,1,1,341.0,335.0,67.0,534.0,386.0,388.0,0.0,4.0,3,Belgian_Pro_League,2021_2022,1916.0,469.0,413.0,53.0
66,Charleroi,29,34,74,3,1,397.0,296.0,52.0,571.0,427.0,420.0,2.0,3.0,2,Belgian_Pro_League,2022_2023,2028.0,496.0,485.0,50.0
67,Chaves,31,34,103,9,5,457.0,495.0,57.0,646.0,294.0,282.0,4.0,8.0,0,Primeira_Liga,2023_2024,1535.0,482.0,491.0,49.0
67,Chaves,31,34,110,10,6,448.0,471.0,55.0,603.0,336.0,303.0,9.0,10.0,0,Primeira_Liga,2022_2023,1726.0,403.0,417.0,49.0
68,Chelsea,32,38,109,4,2,446.0,451.0,85.0,558.0,298.0,376.0,11.0,5.0,3,Premier_League,2023_2024,1846.0,440.0,402.0,52.0
68,Chelsea,32,38,81,3,2,397.0,462.0,74.0,693.0,341.0,445.0,3.0,1.0,3,Premier_League,2022_2023,2024.0,493.0,453.0,52.0
68,Chelsea,26,38,63,1,0,409.0,392.0,69.0,745.0,347.0,348.0,8.0,6.0,1,Premier_League,2021_2022,2084.0,538.0,486.0,52.0
69,Cherno More,31,35,88,2,1,,,,,,,,,1,Bulgarian_First_League,2022_2023,,,,
69,Cherno More,29,35,73,3,2,,,,,,,,,0,Bulgarian_First_League,2023_2024,,,,
69,Cherno More,31,31,79,5,3,,,,,,,,,4,Bulgarian_First_League,2021_2022,,,,
70,Clermont Foot,28,38,72,5,2,426.0,592.0,52.0,564.0,440.0,398.0,7.0,12.0,0,Ligue_1,2022_2023,2051.0,410.0,427.0,49.0
70,Clermont Foot,31,34,60,7,1,396.0,429.0,51.0,551.0,347.0,358.0,7.0,9.0,1,Ligue_1,2023_2024,1695.0,393.0,414.0,48.0
70,Clermont Foot,28,38,65,8,3,387.0,482.0,53.0,713.0,386.0,361.0,2.0,5.0,3,Ligue_1,2021_2022,2137.0,432.0,466.0,48.0
71,Club Brugge,29,30,58,3,3,323.0,312.0,49.0,687.0,263.0,320.0,7.0,3.0,0,Belgian_Pro_League,2023_2024,1644.0,481.0,374.0,56.0
71,Club Brugge,31,34,60,8,6,354.0,386.0,65.0,698.0,391.0,362.0,1.0,3.0,1,Belgian_Pro_League,2021_2022,1923.0,504.0,388.0,56.0
71,Club Brugge,32,34,68,2,1,356.0,400.0,63.0,647.0,377.0,314.0,8.0,3.0,2,Belgian_Pro_League,2022_2023,1926.0,451.0,406.0,52.0
72,Cracovia,33,34,75,2,2,,,,,,,,,0,Ekstraklasa,2021_2022,,,,
72,Cracovia,31,34,73,3,2,,,,,,,,,1,Ekstraklasa,2022_2023,,,,
72,Cracovia,29,34,70,3,1,,,,,,,,,3,Ekstraklasa,2023_2024,,,,
73,Cremonese,33,38,81,3,0,458.0,407.0,68.0,659.0,393.0,400.0,5.0,5.0,1,Serie_A,2022_2023,2059.0,562.0,730.0,43.0
74,Crystal Palace,26,38,73,2,2,457.0,427.0,72.0,583.0,323.0,464.0,4.0,3.0,2,Premier_League,2023_2024,1909.0,553.0,555.0,49.0
74,Crystal Palace,26,38,82,3,2,446.0,479.0,58.0,591.0,359.0,421.0,2.0,4.0,3,Premier_League,2022_2023,2093.0,496.0,578.0,46.0
74,Crystal Palace,24,38,69,1,1,414.0,481.0,63.0,643.0,333.0,374.0,6.0,4.0,2,Premier_League,2021_2022,2103.0,610.0,618.0,49.0
75,Cádiz,33,38,105,3,3,488.0,449.0,69.0,865.0,413.0,380.0,5.0,13.0,0,La_Liga,2021_2022,2077.0,601.0,693.0,46.0
75,Cádiz,38,38,116,7,4,532.0,482.0,75.0,633.0,270.0,410.0,2.0,10.0,0,La_Liga,2022_2023,1953.0,606.0,651.0,48.0
75,Cádiz,34,38,107,7,0,576.0,498.0,90.0,791.0,298.0,398.0,2.0,2.0,1,La_Liga,2023_2024,1831.0,632.0,673.0,48.0
76,Darmstadt 98,32,34,83,4,0,429.0,351.0,57.0,514.0,317.0,323.0,2.0,2.0,2,Bundesliga,2023_2024,1502.0,510.0,569.0,47.0
77,Dortmund,30,34,66,0,0,322.0,407.0,41.0,677.0,298.0,334.0,6.0,1.0,1,Bundesliga,2022_2023,1958.0,425.0,364.0,53.0
77,Dortmund,33,34,63,1,1,362.0,398.0,73.0,491.0,347.0,322.0,6.0,6.0,2,Bundesliga,2021_2022,2052.0,419.0,363.0,53.0
77,Dortmund,32,34,59,4,2,315.0,391.0,44.0,522.0,251.0,356.0,5.0,6.0,2,Bundesliga,2023_2024,1763.0,390.0,426.0,47.0
78,Eint Frankfurt,28,34,71,1,1,429.0,377.0,70.0,616.0,284.0,357.0,6.0,2.0,1,Bundesliga,2022_2023,2088.0,467.0,555.0,45.0
78,Eint Frankfurt,27,34,61,1,1,422.0,299.0,53.0,697.0,377.0,330.0,1.0,4.0,1,Bundesliga,2021_2022,2251.0,552.0,644.0,46.0
78,Eint Frankfurt,34,34,70,5,4,355.0,318.0,51.0,557.0,302.0,359.0,2.0,11.0,0,Bundesliga,2023_2024,1792.0,477.0,525.0,47.0
79,Elche,28,38,104,6,1,518.0,471.0,74.0,720.0,305.0,325.0,1.0,10.0,0,La_Liga,2021_2022,1982.0,527.0,515.0,50.0
79,Elche,32,38,99,12,3,525.0,394.0,81.0,750.0,323.0,363.0,4.0,10.0,2,La_Liga,2022_2023,1924.0,484.0,465.0,51.0
80,Emmen,30,34,43,2,2,323.0,363.0,44.0,589.0,311.0,362.0,1.0,2.0,1,Eredivisie,2022_2023,1919.0,456.0,515.0,47.0
81,Empoli,32,38,88,7,3,441.0,459.0,54.0,611.0,280.0,364.0,2.0,6.0,1,Serie_A,2022_2023,1815.0,434.0,519.0,45.0
81,Empoli,34,38,88,1,1,524.0,514.0,82.0,672.0,263.0,378.0,4.0,8.0,1,Serie_A,2023_2024,1623.0,509.0,628.0,44.0
81,Empoli,28,38,87,5,3,506.0,463.0,83.0,704.0,352.0,327.0,6.0,10.0,6,Serie_A,2021_2022,1998.0,427.0,549.0,43.0
82,Espanyol,34,38,99,7,3,440.0,516.0,70.0,627.0,326.0,338.0,3.0,5.0,2,La_Liga,2021_2022,1736.0,447.0,574.0,43.0
82,Espanyol,33,38,99,10,4,457.0,493.0,62.0,713.0,338.0,379.0,3.0,6.0,2,La_Liga,2022_2023,1791.0,647.0,596.0,52.0
83,Estoril,31,34,77,5,0,459.0,412.0,54.0,548.0,269.0,335.0,0.0,3.0,3,Primeira_Liga,2023_2024,1489.0,367.0,478.0,43.0
83,Estoril,31,34,101,8,3,493.0,476.0,78.0,609.0,298.0,252.0,5.0,5.0,2,Primeira_Liga,2021_2022,1533.0,425.0,433.0,49.0
83,Estoril,33,34,99,5,4,495.0,535.0,46.0,576.0,250.0,316.0,1.0,14.0,1,Primeira_Liga,2022_2023,1604.0,389.0,440.0,46.0
84,Estrela,34,34,76,7,3,419.0,419.0,81.0,634.0,281.0,381.0,0.0,4.0,1,Primeira_Liga,2023_2024,1685.0,527.0,490.0,51.0
85,Etar,41,35,93,11,5,,,,,,,,,3,Bulgarian_First_League,2023_2024,,,,
86,Eupen,26,30,56,2,1,392.0,306.0,74.0,481.0,320.0,342.0,1.0,6.0,4,Belgian_Pro_League,2023_2024,1520.0,376.0,487.0,43.0
86,Eupen,34,34,79,2,1,383.0,321.0,58.0,560.0,408.0,372.0,0.0,11.0,1,Belgian_Pro_League,2021_2022,1855.0,387.0,427.0,47.0
86,Eupen,30,34,73,6,3,432.0,359.0,81.0,481.0,389.0,393.0,6.0,11.0,3,Belgian_Pro_League,2022_2023,1890.0,372.0,520.0,41.0
87,Everton,26,38,82,1,1,457.0,361.0,89.0,752.0,358.0,442.0,2.0,8.0,3,Premier_League,2023_2024,1970.0,676.0,577.0,54.0
87,Everton,28,38,81,2,1,396.0,382.0,64.0,704.0,390.0,424.0,3.0,6.0,0,Premier_League,2022_2023,2049.0,582.0,613.0,48.0
87,Everton,33,38,82,6,2,368.0,388.0,53.0,653.0,365.0,402.0,7.0,2.0,5,Premier_League,2021_2022,2023.0,634.0,725.0,46.0
88,Excelsior,28,34,49,1,1,334.0,288.0,38.0,557.0,370.0,384.0,2.0,1.0,2,Eredivisie,2022_2023,1885.0,480.0,538.0,47.0
88,Excelsior,27,34,51,4,1,279.0,273.0,42.0,547.0,351.0,373.0,1.0,2.0,1,Eredivisie,2023_2024,1640.0,488.0,538.0,47.0
89,FC Copenhagen,32,32,80,1,1,272.0,324.0,45.0,575.0,332.0,296.0,,,0,Danish_Superliga,2022_2023,,,,
89,FC Copenhagen,35,32,67,2,1,282.0,310.0,58.0,503.0,390.0,321.0,,,1,Danish_Superliga,2021_2022,,,,
89,FC Copenhagen,28,32,54,1,1,330.0,315.0,54.0,653.0,267.0,316.0,,,1,Danish_Superliga,2023_2024,,,,
90,FC Spartak Varna,40,35,86,3,0,,,,,,,,,2,Bulgarian_First_League,2022_2023,,,,
91,FK IMT Novi Beograd,38,37,89,3,3,,,,,,,,,1,Serbian_SuperLiga,2023_2024,,,,
92,FK Kolubara,35,37,94,2,1,,,,,,,,,1,Serbian_SuperLiga,2021_2022,,,,
92,FK Kolubara,39,37,93,8,4,,,,,,,,,1,Serbian_SuperLiga,2022_2023,,,,
93,FK Levski 2005,32,35,99,2,1,,,,,,,,,1,Bulgarian_First_League,2023_2024,,,,
94,FK Mladost Novi Sad,39,37,87,3,2,,,,,,,,,1,Serbian_SuperLiga,2022_2023,,,,
95,FK Železničar Pančevo,36,37,68,1,0,,,,,,,,,1,Serbian_SuperLiga,2023_2024,,,,
96,Famalicão,27,34,104,9,3,513.0,551.0,77.0,697.0,299.0,360.0,4.0,8.0,2,Primeira_Liga,2023_2024,1546.0,550.0,449.0,55.0
96,Famalicão,37,34,104,5,3,511.0,524.0,76.0,592.0,404.0,334.0,4.0,8.0,2,Primeira_Liga,2021_2022,1753.0,483.0,462.0,51.0
96,Famalicão,33,34,86,7,1,497.0,549.0,52.0,668.0,330.0,360.0,5.0,9.0,2,Primeira_Liga,2022_2023,1702.0,495.0,513.0,49.0
97,Farense,25,34,79,6,3,472.0,413.0,58.0,641.0,332.0,318.0,4.0,7.0,1,Primeira_Liga,2023_2024,1513.0,601.0,653.0,47.0
98,Fatih Karagümrük,35,38,96,7,2,483.0,457.0,63.0,705.0,334.0,323.0,,,3,Super_Lig,2023_2024,,,,
98,Fatih Karagümrük,34,38,84,10,3,395.0,471.0,72.0,523.0,353.0,308.0,,,0,Super_Lig,2021_2022,,,,
98,Fatih Karagümrük,34,34,82,4,3,438.0,400.0,55.0,501.0,337.0,295.0,,,3,Super_Lig,2022_2023,,,,
99,Fenerbahçe,33,38,96,5,4,516.0,525.0,78.0,775.0,346.0,409.0,,,0,Super_Lig,2023_2024,,,,
99,Fenerbahçe,31,38,85,4,3,531.0,434.0,62.0,721.0,419.0,405.0,,,0,Super_Lig,2021_2022,,,,
99,Fenerbahçe,29,34,76,7,3,468.0,490.0,64.0,585.0,306.0,358.0,,,0,Super_Lig,2022_2023,,,,
100,Feyenoord,30,34,47,0,0,301.0,303.0,40.0,771.0,289.0,340.0,3.0,1.0,2,Eredivisie,2022_2023,2100.0,415.0,351.0,54.0
100,Feyenoord,31,34,41,0,0,329.0,304.0,69.0,704.0,313.0,366.0,3.0,4.0,1,Eredivisie,2021_2022,2240.0,497.0,434.0,53.0
100,Feyenoord,25,34,35,1,0,303.0,352.0,68.0,657.0,255.0,344.0,7.0,1.0,0,Eredivisie,2023_2024,1874.0,504.0,368.0,57.0
101,Fiorentina,30,38,93,3,2,488.0,511.0,56.0,880.0,260.0,337.0,3.0,8.0,2,Serie_A,2022_2023,2016.0,588.0,517.0,53.0
101,Fiorentina,30,38,80,0,0,459.0,450.0,57.0,748.0,236.0,320.0,6.0,9.0,0,Serie_A,2023_2024,1720.0,626.0,603.0,50.0
101,Fiorentina,28,38,89,8,6,464.0,565.0,57.0,776.0,244.0,301.0,8.0,5.0,2,Serie_A,2021_2022,1885.0,469.0,456.0,50.0
102,Fortuna Sittard,28,34,63,3,2,323.0,315.0,71.0,631.0,370.0,355.0,7.0,3.0,2,Eredivisie,2022_2023,1881.0,496.0,425.0,53.0
102,Fortuna Sittard,29,34,62,1,0,380.0,313.0,47.0,527.0,375.0,300.0,2.0,2.0,1,Eredivisie,2021_2022,1980.0,597.0,546.0,52.0
102,Fortuna Sittard,32,34,58,3,1,369.0,315.0,40.0,676.0,334.0,379.0,6.0,2.0,2,Eredivisie,2023_2024,1778.0,646.0,554.0,53.0
103,Freiburg,27,34,62,2,1,404.0,424.0,57.0,547.0,325.0,289.0,7.0,6.0,0,Bundesliga,2022_2023,1754.0,743.0,686.0,52.0
103,Freiburg,26,34,34,0,0,392.0,375.0,58.0,633.0,355.0,299.0,4.0,2.0,1,Bundesliga,2021_2022,1920.0,675.0,638.0,51.0
103,Freiburg,25,34,64,4,1,364.0,376.0,52.0,593.0,272.0,319.0,7.0,5.0,1,Bundesliga,2023_2024,1633.0,625.0,628.0,49.0
104,Frosinone,34,38,68,2,1,388.0,442.0,48.0,524.0,241.0,322.0,8.0,8.0,2,Serie_A,2023_2024,1780.0,518.0,602.0,46.0
105,Fulham,25,38,84,4,3,384.0,364.0,51.0,736.0,371.0,384.0,2.0,8.0,4,Premier_League,2023_2024,1837.0,487.0,509.0,48.0
105,Fulham,29,38,80,1,0,411.0,405.0,60.0,769.0,340.0,350.0,8.0,8.0,2,Premier_League,2022_2023,1979.0,511.0,550.0,48.0
106,Galatasaray,32,38,66,1,1,523.0,428.0,78.0,844.0,336.0,411.0,,,1,Super_Lig,2023_2024,,,,
106,Galatasaray,36,38,89,3,0,446.0,449.0,59.0,721.0,380.0,337.0,,,0,Super_Lig,2021_2022,,,,
106,Galatasaray,33,34,75,4,1,468.0,430.0,68.0,793.0,333.0,360.0,,,0,Super_Lig,2022_2023,,,,
107,Gaziantep FK,30,38,85,4,3,441.0,440.0,54.0,597.0,442.0,412.0,,,2,Super_Lig,2023_2024,,,,
107,Gaziantep FK,32,38,84,4,2,431.0,370.0,66.0,706.0,413.0,380.0,,,4,Super_Lig,2021_2022,,,,
107,Gaziantep FK,24,22,68,3,2,274.0,236.0,37.0,325.0,227.0,218.0,,,1,Super_Lig,2022_2023,,,,
108,Genk,26,30,64,6,3,365.0,354.0,75.0,564.0,287.0,309.0,4.0,3.0,0,Belgian_Pro_League,2023_2024,1662.0,465.0,449.0,50.0
108,Genk,27,34,50,4,0,339.0,370.0,72.0,687.0,391.0,412.0,9.0,4.0,0,Belgian_Pro_League,2021_2022,1894.0,434.0,420.0,50.0
108,Genk,28,34,65,3,1,410.0,394.0,68.0,501.0,359.0,350.0,5.0,7.0,0,Belgian_Pro_League,2022_2023,1931.0,449.0,433.0,50.0
109,Genoa,34,38,79,3,3,450.0,406.0,47.0,610.0,332.0,352.0,3.0,4.0,1,Serie_A,2023_2024,1643.0,610.0,543.0,52.0
109,Genoa,40,38,92,3,2,566.0,499.0,72.0,661.0,449.0,416.0,4.0,5.0,2,Serie_A,2021_2022,2228.0,635.0,743.0,46.0
110,Gent,32,30,40,6,1,311.0,328.0,48.0,568.0,326.0,377.0,6.0,11.0,0,Belgian_Pro_League,2023_2024,1715.0,513.0,496.0,50.0
110,Gent,28,34,61,4,0,388.0,389.0,74.0,567.0,433.0,394.0,3.0,6.0,1,Belgian_Pro_League,2021_2022,2056.0,577.0,475.0,54.0
110,Gent,31,34,49,3,0,346.0,343.0,58.0,557.0,452.0,405.0,2.0,7.0,0,Belgian_Pro_League,2022_2023,2115.0,509.0,427.0,54.0
111,Getafe,31,38,121,8,1,559.0,481.0,53.0,621.0,401.0,360.0,1.0,4.0,1,La_Liga,2021_2022,1924.0,721.0,717.0,50.0
111,Getafe,25,38,126,9,6,600.0,437.0,79.0,649.0,320.0,339.0,3.0,8.0,2,La_Liga,2022_2023,1871.0,714.0,697.0,50.0
111,Getafe,33,38,135,10,5,648.0,437.0,78.0,701.0,307.0,364.0,3.0,7.0,0,La_Liga,2023_2024,1773.0,657.0,692.0,48.0
112,Gil Vicente FC,31,34,75,3,2,403.0,477.0,67.0,474.0,303.0,341.0,7.0,7.0,2,Primeira_Liga,2023_2024,1662.0,438.0,425.0,50.0
112,Gil Vicente FC,29,34,88,4,1,455.0,470.0,57.0,502.0,282.0,248.0,3.0,9.0,2,Primeira_Liga,2021_2022,1652.0,486.0,474.0,50.0
112,Gil Vicente FC,32,34,81,2,1,487.0,422.0,62.0,710.0,306.0,316.0,5.0,3.0,0,Primeira_Liga,2022_2023,1779.0,432.0,402.0,51.0
113,Giresunspor,36,38,64,4,1,418.0,443.0,71.0,631.0,397.0,396.0,,,1,Super_Lig,2021_2022,,,,
113,Giresunspor,26,34,90,3,1,436.0,437.0,79.0,569.0,347.0,365.0,,,1,Super_Lig,2022_2023,,,,
114,Girona,29,38,92,3,2,440.0,507.0,87.0,713.0,266.0,321.0,7.0,8.0,0,La_Liga,2022_2023,1836.0,428.0,435.0,49.0
114,Girona,25,38,75,1,0,406.0,471.0,95.0,698.0,257.0,340.0,7.0,7.0,0,La_Liga,2023_2024,1808.0,373.0,390.0,48.0
115,Gladbach,27,34,62,3,1,338.0,447.0,72.0,441.0,267.0,275.0,3.0,6.0,1,Bundesliga,2022_2023,1718.0,415.0,419.0,49.0
115,Gladbach,26,34,67,1,0,359.0,472.0,73.0,440.0,326.0,345.0,6.0,5.0,0,Bundesliga,2021_2022,1850.0,464.0,419.0,52.0
115,Gladbach,27,34,66,2,1,337.0,372.0,53.0,574.0,333.0,337.0,4.0,6.0,0,Bundesliga,2023_2024,1701.0,485.0,478.0,50.0
116,Go Ahead Eag,27,34,51,2,0,368.0,334.0,37.0,620.0,332.0,331.0,3.0,2.0,2,Eredivisie,2022_2023,1889.0,495.0,572.0,46.0
116,Go Ahead Eag,26,34,39,5,2,298.0,322.0,56.0,512.0,393.0,289.0,2.0,4.0,1,Eredivisie,2021_2022,1996.0,557.0,652.0,46.0
116,Go Ahead Eag,23,34,39,3,1,283.0,356.0,56.0,608.0,264.0,297.0,4.0,2.0,1,Eredivisie,2023_2024,1711.0,450.0,566.0,44.0
117,Granada,32,38,105,4,1,477.0,466.0,62.0,691.0,326.0,343.0,2.0,9.0,2,La_Liga,2021_2022,1867.0,602.0,743.0,44.0
117,Granada,40,38,98,4,1,514.0,504.0,75.0,664.0,280.0,374.0,5.0,6.0,2,La_Liga,2023_2024,1708.0,484.0,540.0,47.0
118,Greuther Fürth,29,34,61,0,0,437.0,434.0,69.0,478.0,374.0,336.0,3.0,6.0,5,Bundesliga,2021_2022,1878.0,468.0,602.0,43.0
119,Groningen,36,34,51,5,1,325.0,279.0,50.0,524.0,312.0,384.0,1.0,7.0,0,Eredivisie,2022_2023,1869.0,451.0,508.0,47.0
119,Groningen,28,34,55,4,1,358.0,355.0,51.0,639.0,373.0,371.0,1.0,2.0,2,Eredivisie,2021_2022,1935.0,518.0,644.0,44.0
